SECOND_FLD,review-count
12338_27052,0.0
12339_26941,0.0
12339_26942,0.0
12339_26944,4.0
12339_26948,4.0
12339_26949,15.0
12339_26950,77.0
12339_26965,4.0
12339_26974,1.0
12339_26980,22.0
12339_27005,0.0
12340_26942,44.0
12340_26943,1.0
12340_26944,43.0
12340_26975,9.0
12340_26976,2.0
12340_26989,10.0
12340_27014,0.0
12340_27016,20.0
12340_27017,0.0
12340_27031,1.0
12340_27042,0.0
12340_27043,0.0
12340_27044,67.0
12341_26943,79.0
12341_26947,1.0
12341_26950,0.0
12341_26951,0.0
12341_26957,3.0
12341_27002,9.0
12341_27003,547.0
12341_27043,1.0
12341_27044,72.0
12341_27045,0.0
12342_26936,1.0
12342_26941,6.0
12342_26942,1.0
12342_26943,616.0
12342_26944,3.0
12342_26948,0.0
12342_26949,1.0
12342_26956,93.0
12342_26957,749.0
12342_26979,10.0
12342_27003,232.0
12342_27016,197.0
12342_27027,12.0
12342_27032,29.0
12342_27042,1.0
12342_27044,3.0
12343_26932,0.0
12343_26936,27.0
12343_26937,87.0
12343_26938,12.0
12343_26954,7.0
12343_26957,12.0
12343_27002,30.0
12343_27003,23.0
12343_27016,3.0
12343_27040,25.0
12343_27041,25.0
12343_27042,0.0
12344_26925,0.0
12344_26931,2.0
12344_26932,9.0
12344_26934,29.0
12344_26939,10.0
12344_26940,72.0
12344_26943,2.0
12344_26950,44.0
12344_26951,36.0
12344_27002,1.0
12344_27016,18.0
12344_27039,0.0
12344_27040,0.0
12344_27047,4.0
12344_27048,0.0
12344_27049,0.0
12345_26932,3.0
12345_26940,177.0
12345_26941,8.0
12345_26943,9.0
12345_26950,0.0
12345_27002,17.0
12345_27038,5.0
12345_27039,0.0
12345_27040,33.0
12345_27042,9.0
12346_26932,2.0
12346_26940,4.0
12346_26941,4.0
12346_26946,0.0
12346_26953,15.0
12346_26960,0.0
12346_27002,134.0
12346_27013,0.0
12346_27016,1.0
12346_27017,11.0
12346_27036,0.0
12346_27039,11.0
